name,Club,age,position,fpl_value,market_value,fpl_points,position_cat,new_foreign,age_cat,club_id,big_club,new_signing,page_views,region,nationality,fpl_sel
Alexis Sanchez,Arsenal,28,LW,12,65,264,1,0,4,1,1,0,4329,3,Chile,0.17
Mesut Ozil,Arsenal,28,AM,9.5,50,167,1,0,4,1,1,0,4395,2,Germany,0.06
Petr Cech,Arsenal,35,GK,5.5,7,134,4,0,6,1,1,0,1529,2,Czech Republic,0.06
Theo Walcott,Arsenal,28,RW,7.5,20,122,1,0,4,1,1,0,2393,1,England,0.02
Laurent Koscielny,Arsenal,31,CB,6,22,121,3,0,4,1,1,0,912,2,France,0.01
Hector Bellerin,Arsenal,22,RB,6,30,119,3,0,2,1,1,0,1675,2,Spain,0.14
Olivier Giroud,Arsenal,30,CF,8.5,22,116,1,0,4,1,1,0,2230,2,France,0.03
Nacho Monreal,Arsenal,31,LB,5.5,13,115,3,0,4,1,1,0,555,2,Spain,0.05
Shkodran Mustafi,Arsenal,25,CB,5.5,30,90,3,0,3,1,1,1,1877,2,Germany,0.04
Alex Iwobi,Arsenal,21,LW,5.5,10,89,1,0,1,1,1,0,1812,4,Nigeria,0.01
Granit Xhaka,Arsenal,24,DM,5.5,35,85,2,0,2,1,1,0,1815,2,Switzerland,0.02
Alex Oxlade-Chamberlain,Arsenal,23,RM,6,22,83,2,0,2,1,1,0,1519,1,England,0.02
Jack Wilshere,Arsenal,25,CM,5.5,18,61,2,0,3,1,1,0,1759,1,England,0.00
Aaron Ramsey,Arsenal,26,CM,7,35,56,2,0,3,1,1,0,1040,1,Wales,0.05
Francis Coquelin,Arsenal,26,DM,4.5,15,52,2,0,3,1,1,0,549,2,France,0.02
Gabriel Paulista,Arsenal,26,CB,5,13,45,3,0,3,1,1,0,552,3,Brazil,0.00
Kieran Gibbs,Arsenal,27,LB,5,10,45,3,0,3,1,1,0,489,1,England,0.01
Santi Cazorla,Arsenal,32,CM,7,12,38,2,0,5,1,1,0,943,2,Spain,0.00
Danny Welbeck,Arsenal,26,CF,7.5,15,37,1,0,3,1,1,0,1521,1,England,0.01
Rob Holding,Arsenal,21,CB,5,7,32,3,0,1,1,1,1,666,1,England,0.02
Mohamed Elneny,Arsenal,25,DM,4.5,10,26,2,0,3,1,1,0,683,4,Egypt,0.01
Lucas Perez,Arsenal,28,CF,7.5,15,20,1,0,4,1,1,1,2055,2,Spain,0.00
Emiliano Martinez,Arsenal,24,GK,4,1,8,4,0,2,1,1,0,372,3,Argentina,0.04
David Ospina,Arsenal,28,GK,5,7,2,4,0,4,1,1,0,544,3,Colombia,0.00
Carl Jenkinson,Arsenal,25,RB,4.5,5,2,3,0,3,1,1,0,561,1,England,0.00
Per Mertesacker,Arsenal,32,CB,5,6,1,3,0,5,1,1,0,702,2,Germany,0.01
Sead Kolasinac,Arsenal,24,LB,6,15,0,3,1,2,1,1,0,618,2,Bosnia,0.07
Alexandre Lacazette,Arsenal,26,CF,10.5,40,0,1,1,3,1,1,0,1183,2,France,0.27
Joshua King,Bournemouth,25,SS,7.5,8,178,1,0,3,2,0,0,997,2,Norway,0.10
Jermain Defoe,Bournemouth,34,CF,8,5,166,1,0,6,2,0,0,3213,1,England,0.15
Charlie Daniels,Bournemouth,30,LB,5,3,134,3,0,4,2,0,0,185,1,England,0.20
Artur Boruc,Bournemouth,37,GK,4.5,1,120,4,0,6,2,0,0,436,2,Poland,0.07
Steve Cook,Bournemouth,26,CB,5,5,112,3,0,3,2,0,0,184,1,England,0.02
Junior Stanislas,Bournemouth,27,LW,6,4.5,107,1,0,3,2,0,0,315,1,England,0.01
Adam Smith,Bournemouth,26,RB,5,5,104,3,0,3,2,0,0,200,1,England,0.01
Ryan Fraser,Bournemouth,23,LW,5.5,5,100,1,0,2,2,0,0,516,2,Scotland,0.02
Simon Francis,Bournemouth,32,RB,4.5,2.5,89,3,0,5,2,0,0,167,1,England,0.04
Benik Afobe,Bournemouth,24,CF,6,10,88,1,0,2,2,0,0,528,4,Congo DR,0.01
Harry Arter,Bournemouth,27,CM,5,2.5,84,2,0,3,2,0,0,666,2,Ireland,0.01
